lon,lat,iron_oxide,ferrous,clay,ndvi,elevation,slope,curvature,twi,dist_um,label
121.53693754425176,-4.26439248524378,1.9383117,1.1164356,1.2109106,0.02788519,94,6.6637416,7.0,13.277183825889455,0.0,1
121.64204043249376,-4.204564687321421,1.7690583,0.87614495,1.5256588,0.52181816,99,9.24046,14.0,17.04463628279973,0.0,1
121.53532057674036,-4.2622365285618935,1.5289457,1.1219685,1.2639614,0.0555242,72,14.784135,18.0,10.38284895785226,0.0,1
121.64509470445977,-4.201869741469062,2.0454547,1.4794576,1.2309991,0.06409166,123,3.3465478,-13.0,13.276251003145536,0.0,1
121.63395559493668,-4.217141101299093,2.8550298,1.8343639,1.1821805,0.07963757,252,4.142885,-10.0,11.675868120799151,0.0,1
121.5973043313446,-4.213008850992144,2.0910723,1.3825737,1.2200309,0.10261842,174,18.068556,1.0,10.17089613452315,0.0,1
121.64186076943692,-4.2047443503782445,2.180328,1.3619632,1.2461908,0.1768953,104,10.259485,5.0,14.672068486913824,0.0,1
121.63862683441413,-4.199893447843999,2.1085017,1.3552561,1.3037177,0.113721624,102,19.946497,-5.0,10.757539665933226,0.0,1
121.6423997586074,-4.203307045923653,2.454133,1.4766229,1.2283156,0.09958393,108,15.526736,-15.0,10.331552713350096,0.0,1
121.64473537834613,-4.204924013435068,1.7892288,1.2568045,1.3188845,0.07430338,162,11.042984,-42.0,11.377881527931818,0.0,1
121.63862683441413,-4.20546300260554,2.0515842,1.3658937,1.2292145,0.040463503,142,7.6045327,-16.0,11.06437958582276,0.0,1
121.63988447581188,-4.214446155446735,2.5874126,1.5330254,1.1247035,0.07845578,196,11.657478,-14.0,10.629128140164632,0.0,1
121.58724320016246,-4.228100547765352,2.9537954,1.5892286,1.0551515,0.100728445,23,5.562589,-4.0,11.379779673794983,433.24857375479723,1
121.6303623338002,-4.197917154218936,1.5137705,1.2883095,1.3286313,0.006669552,212,12.698883,-9.0,10.54095110850415,0.0,1
121.64222009555058,-4.200791763128119,1.9391772,1.4278922,1.3707889,0.34153378,90,9.91249,3.0,13.097766409147347,0.0,1
121.59604668994685,-4.209595252912489,2.0244253,1.3285198,1.2411468,0.08238361,160,7.217094,-2.0,11.11725477990272,0.0,1
121.63215896436844,-4.216781775185446,2.8362653,1.592897,1.1770718,0.12135822,226,17.113167,-17.0,10.921933391596308,0.0,1
